127.0.0.1 - - [14/Nov/2024:19:07:16 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:07:17 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:07:17 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:07:17 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:07:17 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:07:17 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:07:17 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:07:17 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:07:17 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:07:17 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:07:17 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:08:19 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:08:19 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:08:19 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:08:19 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:08:19 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:08:19 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:08:20 -0300] "GET /ProjetoTrilhaWeb/imgs/Logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:18 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:18 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:18 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:19 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:19 -0300] "GET /ProjetoTrilhaWeb/imgs/Logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:19 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:19 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:19 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:20 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:20 -0300] "GET /ProjetoTrilhaWeb/imgs/Logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:20 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:20 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:20 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:20 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:20 -0300] "GET /ProjetoTrilhaWeb/imgs/Logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:20 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:20 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:20 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:20 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:12:20 -0300] "GET /ProjetoTrilhaWeb/imgs/Logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:51 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:51 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:51 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:51 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:51 -0300] "GET /ProjetoTrilhaWeb/imgs/Logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:51 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:51 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:51 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:51 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:51 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:52 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:52 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:52 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:52 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:52 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:52 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:28:52 -0300] "GET /ProjetoTrilhaWeb/imgs/Logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:29:01 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:29:01 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:29:01 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:29:01 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:29:01 -0300] "GET /ProjetoTrilhaWeb/imgs/Logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:29:02 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:29:02 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 503
